time_period,key1,value,lower_value,upper_value,anomaly,train_dataset_flag,feedback_flag
2023-01-01,Brother,236.58,-1059.2987642809303,761.5278935344286,0,True,True
2023-01-01,HP,197.0,-955.278662812988,718.8011167296486,0,True,True
2023-01-01,Canon,283.29,-1208.792452290333,770.8554404665929,0,True,True
2023-01-01,Fujitsu,33.76,-882.2034677141994,921.0649913864306,0,True,True
2023-01-01,Epson,47.52,-1298.2865660013936,529.9361858260139,0,True,True
2023-01-02,HP,588.58,-308.9239864338572,1365.155793108779,0,True,True
2023-01-02,Fujitsu,1306.28,-306.1959704610771,1497.0724886395528,0,True,True
2023-01-02,Epson,161.23,-525.9570887038278,1302.2656631235798,0,True,True
2023-01-02,Canon,963.02,-565.7571582834017,1413.890734473524,0,True,True
2023-01-02,Brother,254.16,-266.9161550957501,1553.910502719609,0,True,True
2023-01-03,Fujitsu,2182.39,-144.1465796154721,1659.121879485158,1,True,True
2023-01-03,Brother,851.85,21.606295072375477,1842.4329528877347,0,True,True
2023-01-03,HP,1262.6,-225.00195016511668,1449.0778293775195,0,True,True
2023-01-03,Canon,194.89,-319.37099380303914,1660.2768989538863,0,True,True
2023-01-03,Epson,427.3,-277.8927427473254,1550.3300090800822,0,True,True
2023-01-04,HP,706.0,-104.39268617823586,1569.6870933644009,0,True,True
2023-01-04,Canon,71.12,-403.0681226116964,1576.5797701452293,0,True,True
2023-01-04,Epson,54.24,-338.2762202949143,1489.9465315324933,0,True,True
2023-01-04,Fujitsu,413.03,73.10886114670768,1876.3773202473376,0,True,True
2023-01-04,Brother,315.33,-24.49289210474592,1796.333765710613,0,True,True
2023-01-05,Fujitsu,210.95,432.85540477861935,2236.1238638792493,1,True,True
2023-01-05,HP,260.19,73.13842492981394,1747.2182044724505,0,True,True
2023-01-05,Brother,1250.15,-157.83425331293677,1662.9924045024222,0,True,True
2023-01-05,Epson,1094.02,-228.8809582432085,1599.341793584199,0,True,True
2023-01-05,Canon,662.6,-465.1521985289486,1514.4956942279769,0,True,True
2023-01-06,Epson,1374.87,78.50253158859573,1906.7252834160035,0,True,True
2023-01-06,Fujitsu,871.03,190.82999957711135,1994.0984586777413,0,True,True
2023-01-06,Canon,222.59,-500.3410337838576,1479.3068589730678,0,True,True
2023-01-06,Brother,2023.97,378.158039422518,2198.9846972378773,0,True,True
2023-01-06,HP,207.89,124.48234154367242,1798.562121086309,0,True,True
2023-01-07,HP,972.3,-695.7618683715006,978.317911171136,0,True,True
2023-01-07,Epson,119.37,-160.9690825296741,1667.2536692977335,0,True,True
2023-01-07,Brother,179.54,-143.17618258694142,1677.6504752284177,0,True,True
2023-01-07,Fujitsu,1179.05,-376.3435286223148,1426.9249304783152,0,True,True
2023-01-07,Canon,456.95,-1001.8947208510364,977.7531719058892,0,True,True
2023-01-08,Epson,457.76,-273.68656600139366,1554.536185826014,0,True,True
2023-01-08,HP,603.61,-868.4543770987023,805.6254024439343,0,True,True
2023-01-08,Brother,329.41,-226.85590713807343,1593.9707506772857,0,True,True
2023-01-08,Fujitsu,96.69,-430.9134677141994,1372.3549913864306,0,True,True
